anio,cod_ense2,nivel_educativo,poblacion
2018,1,Educación Parvularia,373959
2018,2,Enseñanza Básica Niños,1988777
2018,3,Educación Básica Adultos,18885
2018,4,Educación Especial,183373
2018,5,Enseñanza Media Humanístico-Científica Jóvenes,640067
2018,6,Educación Media Humanístico-Científica Adultos,111352
2018,7,"Enseñanza Media Técnico Profesional y Artística, Jóvenes",256688
2018,8,"Educación Media Técnico Profesional y Artística, Adultos",9347
2019,1,Educación Parvularia,386103
2019,2,Enseñanza Básica Niños,2014806
2019,3,Educación Básica Adultos,19034
2019,4,Educación Especial,185498
2019,5,Enseñanza Media Humanístico-Científica Jóvenes,653256
2019,6,Educación Media Humanístico-Científica Adultos,111702
2019,7,"Enseñanza Media Técnico Profesional y Artística, Jóvenes",244480
2019,8,"Educación Media Técnico Profesional y Artística, Adultos",9464
2020,1,Educación Parvularia,385833
2020,2,Enseñanza Básica Niños,2017013
2020,3,Educación Básica Adultos,16128
2020,4,Educación Especial,181776
2020,5,Enseñanza Media Humanístico-Científica Jóvenes,662222
2020,6,Educación Media Humanístico-Científica Adultos,96740
2020,7,"Enseñanza Media Técnico Profesional y Artística, Jóvenes",241051
2020,8,"Educación Media Técnico Profesional y Artística, Adultos",8023
2021,1,Educación Parvularia,352573
2021,2,Enseñanza Básica Niños,2033671
2021,3,Educación Básica Adultos,17350
2021,4,Educación Especial,175787
2021,5,Enseñanza Media Humanístico-Científica Jóvenes,685208
2021,6,Educación Media Humanístico-Científica Adultos,110765
2021,7,"Enseñanza Media Técnico Profesional y Artística, Jóvenes",242260
2021,8,"Educación Media Técnico Profesional y Artística, Adultos",8842
2022,1,Educación Parvularia,352683
2022,2,Enseñanza Básica Niños,2052060
2022,3,Educación Básica Adultos,15065
2022,4,Educación Especial,178744
2022,5,Enseñanza Media Humanístico-Científica Jóvenes,705105
2022,6,Educación Media Humanístico-Científica Adultos,91986
2022,7,"Enseñanza Media Técnico Profesional y Artística, Jóvenes",241663
2022,8,"Educación Media Técnico Profesional y Artística, Adultos",7242
2023,1,Educación Parvularia,342417
2023,2,Enseñanza Básica Niños,2037448
2023,3,Educación Básica Adultos,15427
2023,4,Educación Especial,176850
2023,5,Enseñanza Media Humanístico-Científica Jóvenes,725931
2023,6,Educación Media Humanístico-Científica Adultos,85798
2023,7,"Enseñanza Media Técnico Profesional y Artística, Jóvenes",239955
2023,8,"Educación Media Técnico Profesional y Artística, Adultos",7239
2024,1,Educación Parvularia,323073
2024,2,Enseñanza Básica Niños,1998308
2024,3,Educación Básica Adultos,15499
2024,4,Educación Especial,172331
2024,5,Enseñanza Media Humanístico-Científica Jóvenes,742516
2024,6,Educación Media Humanístico-Científica Adultos,82540
2024,7,"Enseñanza Media Técnico Profesional y Artística, Jóvenes",241425
2024,8,"Educación Media Técnico Profesional y Artística, Adultos",7251
